,artist,designer,mechanic,category,game_type,family,publisher
5767,,3,"2048,2060,2019","1032,1041,1039,1079,1030,1037,1025",4665,7373,"32140,1189,51,1536,6412,11107,964,29863"
5768,,3,,"1041,1039",4665,,8
5769,,287,2040,"1032,1072",,,20
5770,36882,"36882,2373","2020,2015","1023,1002,1035,1070",,,1537
5771,,1699,"2072,2026,2855,2070,2974","1051,1019",4664,"64960,10168,17056,14835,58050,60951,61979,72016","3929,988"
5772,,3,2004,"1002,1041,1064",,,20
5773,,3,"2035,2004",1064,,,20
5774,,2375,2016,"1039,1016,1019",,61979,1538
5775,"11322,85503,1699",1699,"2026,2070","1069,1008,1019",4664,"64952,18581,14835,61979,72016,26464","3929,988"
5776,36882,"36882,2373","2020,2015","1023,1002,1035,1070",,,1537
5777,8647,2376,"2001,2041,2004",1002,5499,64968,206
5778,,2377,"2012,2014,2072,2040,2070,2005,2008","1023,1002,1017,1098",,,1539
5779,,3,2035,1011,,,"661,329"
5780,,3,"2676,2016","1072,1069,1019",,"5607,61204,25158,61979",152
5781,,3,,"1002,1072",,,28
5782,,3,"2011,2007,2035","1041,1016",4665,,28
5783,51687,3,2072,"1032,1041,1116,1017,1098",4665,65592,329
5784,129572,2378,2011,1009,4666,,1540
5785,,1951,2035,1064,,,28
5786,,1600,"2854,2072,2676,2055,2028,2822,2070,2940,2019,2897","2650,1019,1065",4664,11006,"4,2010,16"
5787,9106,"3550,4485","2072,2975,2949,2822,2070","1022,1047,1016,1019",4664,"25158,61979",547
5788,,3,2028,1040,,6036,"21910,486,487"
5789,,1455,"2018,2072,2850,2676,2026,2011,2070","1019,1049",4664,"53215,61979,59607,110,13265",40
5790,"36793,16478,16474",2379,"2018,2072,2850,2676,2026,2011,2822,2070","1019,1049",4664,"61979,110","1391,975,40"
5791,,3,2040,"1032,1002",,5642,"51,8931,4554,20"
5792,,3,2048,1002,5499,"7334,8120,98,70360,46164","171,51,28"
5793,,"2381,2380","2055,2020,2019","1094,1030,1028,1025",,,1541
5794,"18437,23732,22241,22153,20711","1666,1667,821,7722,1964","2689,2072,2055,2078,2020","1046,1035,1019","4664,5497","64960,3274,22839","4473,139,975,96"
5795,47040,2382,"2001,2023,2850,2070","1029,1021,1094,1084,1088,1001",,,"4,99,34"
5796,,4,2004,1002,,,74
5797,,4,"2676,2004,2940","1009,1098",4666,78603,"74,752"
5798,,"2383,2384,2385","2012,2072,2035,2005,2008","1021,1026",,,3320
5799,,"2121,649","2072,2020",1038,,"61979,5640",1335
5800,616,"2388,2387","2072,2015","1116,1010,1046,1016","5496,5499",17935,19
5801,"12118,172,14153",172,"2027,2017","1030,1025",5498,,"29,111,11,114,5382"
5802,,2389,"2001,2012,2014,2072,2026,2070,2020,2015","1019,1049",4664,,3393
5803,,3,"2072,2003,2004,2015","1041,1044,1010,1064,1093",,"5608,61979",93
5804,11788,94,"2011,2002",1009,4666,7744,"6729,37"
5805,11788,94,"2011,2002","1009,1028",4666,"6363,7744","402,37"
5806,"13678,12429","13678,61234,4170,61235,21421",2072,"1010,1046,1047,1019",4664,61979,1542
5807,1038,2390,"2010,2026,2081,2007","1021,1016,1034,1011",5497,"22783,51,10166",10
5808,,3,2002,"1020,1010,1064",,,1543
5809,,104857,"2072,2035","1046,1035",,22839,859
5810,,2392,"2072,2047,2078,2035","1009,1017,1045,1031",4666,78564,1544
5811,,3,"2012,2035,2004,2008","1021,1026,1115",,"21062,100",647
5812,45602,"557,2393,2098",2015,"1041,1027",4665,17520,41
5813,,3,"2028,2015","1023,1039",,,28
5814,,3,2002,1025,,,152
